Feature Name                        Issue #  First Commit Timestamp     Latest Commit Timestamp
shrink_to                           56431    2018-12-02 16:07:57 +0900  2019-02-20 11:13:35 +0000
exact_size_is_empty                 35428    2018-12-17 17:28:27 -0500  2018-12-17 17:28:27 -0500
renamed_spin_loop                   55002    2018-12-19 16:43:29 -0500  2018-12-19 16:43:29 -0500
sgx_platform                        56975    2018-12-19 17:26:17 +0530  2019-03-05 13:32:41 -0800
iter_once_with                      57581    2019-01-13 21:24:15 +0100  2019-01-13 21:24:15 +0100
rc_into_raw_non_null                47336    2019-01-27 17:03:03 +0000  2019-01-27 17:03:03 +0000
weak_counts                         57977    2019-01-29 22:34:35 +0100  2019-01-29 22:34:35 +0100
error_iter                          58520    2019-02-16 12:16:18 -0800  2019-02-16 12:16:18 -0800
path_buf_capacity                   58234    2019-02-17 17:14:10 +0000  2019-02-17 17:14:10 +0000
duration_constants                  57391    2019-02-20 14:21:15 +0100  2019-02-20 14:21:15 +0100
float_to_from_bytes                 60446    2019-02-26 16:47:33 +0100  2019-02-26 16:47:33 +0100
alloc_prelude                       58935    2019-03-05 11:47:52 +0100  2019-03-05 11:47:52 +0100
slice_iter_mut_as_slice             58957    2019-03-05 16:28:32 -0800  2019-03-05 16:28:32 -0800
vec_drain_as_slice                  58957    2019-03-05 16:28:32 -0800  2019-03-05 16:28:32 -0800
clamp                               44095    2019-03-09 19:16:54 +0100  2019-03-09 19:16:54 +0100
udp_peer_addr                       59127    2019-03-12 10:32:23 +0000  2019-03-12 10:32:23 +0000
seek_convenience                    59359    2019-03-22 11:25:44 +0100  2019-03-22 11:25:44 +0100
saturating_neg                      59983    2019-04-17 15:28:57 +0200  2019-04-17 15:28:57 +0200
option_flattening                   60258    2019-04-26 16:58:57 +0100  2019-04-26 16:58:57 +0100
fixed_size_array                    27778    2019-05-09 11:58:39 +0900  2019-05-09 11:58:39 +0900
weak_into_raw                       60728    2019-05-12 14:53:01 +0200  2019-05-19 12:46:37 +0200
hash_set_entry                      60896    2019-05-16 15:37:01 -0700  2019-05-16 15:37:01 -0700
error_type_id                       60784    2019-05-16 19:48:13 -0700  2019-05-16 19:48:13 -0700
mem_take                            61129    2019-05-24 13:52:06 -0400  2019-05-24 13:52:06 -0400
