RFC                                               Feature Name
1721-crt-static.md                                crt_link
1725-unaligned-access.md                          unaligned_access
1728-north-star.md                                north_star
1733-trait-alias.md                               Trait alias
1758-repr-transparent.md                          repr_transparent
1774-roadmap-2017.md                              N/A
1789-as-cell.md                                   as_cell
1824-crates.io-default-ranking.md                 crates_io_default_ranking
1826-change-doc-default-urls.md                   N/A
1828-rust-bookshelf.md                            N/A
1845-shared-from-slice.md                         shared_from_slice
1849-non-static-type-id.md                        non_static_type_id
1857-stabilize-drop-order.md                      stable_drop_order
1859-try-trait.md                                 try_trait
1860-manually-drop.md                             manually_drop
1861-extern-types.md                              extern_types
1866-more-readable-assert-eq.md                   more-readable-assert-eq
1868-portability-lint.md                          nonportable
1869-eprintln.md                                  eprintln
1884-unstable-sort.md                             sort_unstable
1892-uninitialized-uninhabited.md                 uninitialized_uninhabited
1909-unsized-rvalues.md                           unsized_locals
1925-optional-match-vert.md                       match_vert_prefix
1937-ques-in-main.md                              ques_in_main
1940-must-use-functions.md                        none?
1946-intra-rustdoc-links.md                       intra_rustdoc_links
1951-expand-impl-trait.md                         expanded_impl_trait
1961-clamp.md                                     clamp functions
1966-unsafe-pointer-reform.md                     Unsafe Pointer ~~Reform~~ Methods
1969-cargo-prepublish.md                          prepublish
1974-global-allocators.md                         allocator
1977-public-private-dependencies.md               public_private_dependencies
1983-nursery-deprecation.md                       N/A
1985-tiered-browser-support.md                    tiered_browser_support
1990-external-doc-attribute.md                    external_doc
2000-const-generics.md                            const_generics
2005-match-ergonomics.md                          pattern-binding-modes
2008-non-exhaustive.md                            non_exhaustive
2011-generic-assert.md                            generic_assert
2025-nested-method-calls.md                       nested_method_call
2027-object_safe_for_dispatch.md                  object_safe_for_dispatch
2033-experimental-coroutines.md                   coroutines
2043-is-aligned-intrinsic.md                      align_to_intrinsic
2044-license-rfcs.md                              license_rfcs
2045-target-feature.md                            target_feature / cfg_target_feature / cfg_feature_enabled
2046-label-break-value.md                         label_break_value
2052-epochs.md                                    N/A
2056-allow-trivial-where-clause-constraints.md    allow_trivial_constraints
2057-refcell-replace.md                           refcell-replace
2070-panic-implementation.md                      panic_implementation
2071-impl-trait-existential-types.md              impl-trait-existential-types
2086-allow-if-let-irrefutables.md                 allow_if_let_irrefutables
2089-implied-bounds.md                            implied_bounds
2091-inline-semantic.md                           track_caller
2093-infer-outlives.md                            infer_outlives
2094-nll.md                                       (fill me in with a unique ident, my_awesome_feature)
2102-unnamed-fields.md                            unnamed_fields
2103-tool-attributes.md                           tool_attributes, tool_lints
2113-dyn-trait-syntax.md                          dyn-trait-syntax
2115-argument-lifetimes.md                        argument_lifetimes
2116-alloc-me-maybe.md                            fallible_collection_alloc
2124-option-filter.md                             option_filter
2126-path-clarity.md                              TBD
2128-use-nested-groups.md                         use_nested_groups
2132-copy-closures.md                             copy_closures
2133-all-the-clones.md                            all_the_clones
2136-build-systems.md                             N/A
2137-variadic.md                                  variadic
2141-alternative-registries.md                    cargo_alternative_registries
2145-type-privacy.md                              N/A
2151-raw-identifiers.md                           raw_identifiers
2166-impl-only-use.md                             impl-only-use
2169-euclidean-modulo.md                          euclidean_modulo
2175-if-while-or-patterns.md                      if_while_or_patterns
2195-really-tagged-unions.md                      really_tagged_unions
2196-metabuild.md                                 metabuild
2203-const-repeat-expr.md                         const_repeat_expr
2226-fmt-debug-hex.md                             fmt-debug-hex
2229-capture-disjoint-fields.md                   capture_disjoint_fields
2230-bury-description.md                          optional_error_description
2250-finalize-impl-dyn-syntax.md                  N/A
2282-profile-dependencies.md                      profile_dependencies
2289-associated-type-bounds.md                    associated_type_bounds
2294-if-let-guard.md                              if_let_guard
2295-os-str-pattern.md                            os_str_pattern
2296-option-replace.md                            option-replace
2298-macro-at-most-once-rep.md                    macro-at-most-once-rep
2300-self-in-typedefs.md                          self_in_typedefs
2302-tuple-struct-self-ctor.md                    tuple_struct_self_ctor
2306-convert-id.md                                convert_identity
2307-concrete-nonzero-types.md                    concrete-nonzero-types
2314-roadmap-2018.md                              N/A
2318-custom-test-frameworks.md                    custom_test_frameworks
2325-stable-simd.md                               vendor_intrinsics
2333-prior-art.md                                 prior_art
2338-type-alias-enum-variants.md                  type_alias_enum_variants
2341-const-locals.md                              const_locals
2342-const-control-flow.md                        const-control-flow
2344-const-looping.md                             const_looping
2345-const-panic.md                               const_panic
2349-pin.md                                       pin
2351-is-sorted.md                                 is_sorted
2361-dbg-macro.md                                 dbg_macro
2383-lint-reasons.md                              lint_reasons
2386-used.md                                      used
2388-try-expr.md                                  try_expr
2394-async_await.md                               async_await
2397-do-not-recommend.md                          do_not_recommend
2412-optimize-attr.md                             optimize_attr
2420-unreserve-proc.md                            unreserve_proc
2421-unreservations-2018.md                       unreservations
2436-style-guide.md                               N/A
2437-rustfmt-stability.md                         rustfmt_stability
2438-deny-integer-literal-overflow-lint.md        deny_integer_literal_overflow_lint
2451-re-rebalancing-coherence.md                  re_rebalancing_coherence
2457-non-ascii-idents.md                          non_ascii_idents
2471-lint-test-inner-function.md                  lint_test_inner_function
2476-clippy-uno.md                                clippy_uno
2497-if-let-chains.md                             let_chains_2
2504-fix-error.md                                 fix_error
2514-union-initialization-and-drop.md             union_initialization_and_drop
2521-c_void-reunification.md                      c_void_reunification
2526-const-wildcard.md                            const_wildcard
2535-or-patterns.md                               or_patterns
2539-cfg_attr-multiple-attrs.md                   cfg_attr_multi
